Time,Winter,Spring,Summer,Fall,Outdoor Temp (°C),Humidity (%),Cloud Cover (%),Occupancy,Special Equipment [kW],Lighting [kW],HVAC [kW],Hour,DayOfWeek,Month,IsWeekend,IsHoliday,Use [kW],Season_Spring,Season_Summer,Season_Winter
1/1/2023 0:00,1,0,0,0,22.40923012,51.45096294,35.80509203,1,0.742980054,0.478424477,2.37242538,0,6,1,1,FALSE,3.818121848,FALSE,FALSE,TRUE
1/1/2023 1:00,1,0,0,0,36.36813298,98.02218874,45.32751269,2,0.823536463,0.635922313,1.522785026,1,6,1,1,FALSE,2.950036206,FALSE,FALSE,TRUE
1/1/2023 2:00,1,0,0,0,-4.367448639,77.34534155,42.62324033,3,0.989787786,0.762461777,3.800440553,2,6,1,1,FALSE,5.971864015,FALSE,FALSE,TRUE
1/1/2023 3:00,1,0,0,0,42.00918227,90.18660107,6.641748499,1,0.686350385,1.134071186,4.615859807,3,6,1,1,FALSE,7.083364652,FALSE,FALSE,TRUE
1/1/2023 4:00,1,0,0,0,25.66955604,70.17352113,4.071151264,3,0.11240823,1.047224645,3.339850754,4,6,1,1,FALSE,5.106937183,FALSE,FALSE,TRUE
1/1/2023 5:00,1,0,0,0,30.95627238,75.80003779,41.80181606,3,0.672128539,0.675907345,2.69095844,5,6,1,1,FALSE,4.578194625,FALSE,FALSE,TRUE
1/1/2023 6:00,1,0,0,0,12.29441068,59.1641011,9.344535314,1,0.075397653,0.778267747,3.332139672,6,6,1,1,FALSE,4.718388564,FALSE,FALSE,TRUE
1/1/2023 7:00,1,0,0,0,40.05946887,84.53530448,23.22199823,2,0.545208555,0.631199957,3.554618337,7,6,1,1,FALSE,5.570117752,FALSE,FALSE,TRUE
1/1/2023 8:00,1,0,0,0,8.928582055,94.1720822,85.36917168,3,0.318453162,0.445710013,3.353276894,8,6,1,1,FALSE,3.839183456,FALSE,FALSE,TRUE
1/1/2023 9:00,1,0,0,0,31.45629056,83.0208328,25.88520559,2,0.014204799,0.523253693,3.326438114,9,6,1,1,FALSE,4.762315604,FALSE,FALSE,TRUE
1/1/2023 10:00,1,0,0,0,33.90542645,68.24035868,92.23367472,3,0.264316833,0.339382149,3.75868457,10,6,1,1,FALSE,5.253537287,FALSE,FALSE,TRUE
1/1/2023 11:00,1,0,0,0,26.89599677,90.12962688,44.16326396,1,0.116217558,0.492831583,1.52954768,11,6,1,1,FALSE,2.425567972,FALSE,FALSE,TRUE
1/1/2023 12:00,1,0,0,0,30.70022461,69.95181379,58.49557981,2,0.403085703,0.207982172,1.435489976,12,6,1,1,FALSE,2.211208335,FALSE,FALSE,TRUE
1/1/2023 13:00,1,0,0,0,-0.578772736,66.36707374,22.66971797,2,0.815300682,0.259834188,2.633071038,13,6,1,1,FALSE,3.763938234,FALSE,FALSE,TRUE
1/1/2023 14:00,1,0,0,0,-2.222964591,79.88138932,1.888481608,3,0.407190157,0.130730365,2.729458102,14,6,1,1,FALSE,3.335650199,FALSE,FALSE,TRUE
1/1/2023 15:00,1,0,0,0,20.54057333,53.78537349,44.81428162,2,0.403783678,0.059089357,2.125906355,15,6,1,1,FALSE,2.736467198,FALSE,FALSE,TRUE
1/1/2023 16:00,1,0,0,0,9.37596456,68.53468244,63.42571818,3,0.348221354,0.354853524,1.440452365,16,6,1,1,FALSE,2.357036575,FALSE,FALSE,TRUE
1/1/2023 17:00,1,0,0,0,35.8605044,42.43019126,19.29227987,2,0.189441115,0.355209894,2.355890129,17,6,1,1,FALSE,3.148282622,FALSE,FALSE,TRUE
1/1/2023 18:00,1,0,0,0,3.451967549,99.06777731,91.70123317,2,0.812906926,0.294988434,2.186388777,18,6,1,1,FALSE,3.495100492,FALSE,FALSE,TRUE
1/1/2023 19:00,1,0,0,0,26.00031897,97.68875099,18.83950595,2,0.86636857,0.092915049,1.240259804,19,6,1,1,FALSE,2.495160329,FALSE,FALSE,TRUE
1/1/2023 20:00,1,0,0,0,4.439200764,99.14632728,75.0148057,1,0.31519258,0.059349531,3.175962309,20,6,1,1,FALSE,3.571723186,FALSE,FALSE,TRUE
1/1/2023 21:00,1,0,0,0,0.618891349,92.71692075,58.07653343,1,0.667105614,0.525334922,2.272901891,21,6,1,1,FALSE,3.606504477,FALSE,FALSE,TRUE
1/1/2023 22:00,1,0,0,0,1.869559926,94.0647333,5.879506511,1,0.204897076,0.512981849,1.397249528,22,6,1,1,FALSE,2.200697916,FALSE,FALSE,TRUE
1/1/2023 23:00,1,0,0,0,6.725970151,45.13687916,45.39707093,2,0.119019712,0.220104628,1.908684754,23,6,1,1,FALSE,2.353645579,FALSE,FALSE,TRUE
1/2/2023 0:00,1,0,0,0,33.95816679,52.75558324,13.25171417,3,0.353405385,0.423125227,4.011669179,0,0,1,0,FALSE,5.807289063,FALSE,FALSE,TRUE
1/2/2023 1:00,1,0,0,0,42.86071525,80.05525973,35.67921414,3,0.467178965,0.272389818,1.947550979,1,0,1,0,FALSE,3.274435157,FALSE,FALSE,TRUE
1/2/2023 2:00,1,0,0,0,18.50855008,52.14761254,51.34967842,3,0.877469017,0.008199573,3.082874909,2,0,1,0,FALSE,4.475454376,FALSE,FALSE,TRUE
1/2/2023 3:00,1,0,0,0,-1.755681713,42.95603904,34.20276394,1,0.221957708,0.844908394,3.276745671,3,0,1,0,FALSE,4.051105575,FALSE,FALSE,TRUE
1/2/2023 4:00,1,0,0,0,32.56926278,64.50189946,25.82191059,2,0.764365594,0.970701481,3.483295293,4,0,1,0,FALSE,6.341878045,FALSE,FALSE,TRUE
1/2/2023 5:00,1,0,0,0,-1.887370976,95.70012702,45.21008681,2,0.177182583,0.786558085,2.917800634,5,0,1,0,FALSE,4.152378363,FALSE,FALSE,TRUE
1/2/2023 6:00,1,0,0,0,4.564183627,99.7486885,61.67773081,3,0.273626451,1.151549938,2.7643814,6,0,1,0,FALSE,4.652987699,FALSE,FALSE,TRUE
1/2/2023 7:00,1,0,0,0,40.594859,69.28622339,87.14693244,3,0.902476516,0.003678897,3.179930945,7,0,1,0,FALSE,4.528024276,FALSE,FALSE,TRUE
1/2/2023 8:00,1,0,0,0,2.954503935,76.62270795,57.75721716,3,0.745031303,0.996265836,2.561555431,8,0,1,0,FALSE,4.426064251,FALSE,FALSE,TRUE
1/2/2023 9:00,1,0,0,0,21.01979559,60.80460523,25.1465343,2,0.588696427,0.388854535,2.955916362,9,0,1,0,FALSE,4.172747662,FALSE,FALSE,TRUE
1/2/2023 10:00,1,0,0,0,38.15025813,56.92101617,93.42437729,3,0.269287825,0.537749805,3.040796593,10,0,1,0,FALSE,4.641750582,FALSE,FALSE,TRUE
1/2/2023 11:00,1,0,0,0,28.2940754,95.76591698,17.68840837,1,0.7471676,0.680857755,1.828456072,11,0,1,0,FALSE,3.694103042,FALSE,FALSE,TRUE
1/2/2023 12:00,1,0,0,0,31.31670433,83.16143011,25.16435575,2,0.059125729,0.002173288,1.595975367,12,0,1,0,FALSE,2.006718015,FALSE,FALSE,TRUE
1/2/2023 13:00,1,0,0,0,4.735385061,53.2813388,10.87485156,2,0.249146126,0.839346975,3.592821196,13,0,1,0,FALSE,4.701977806,FALSE,FALSE,TRUE
1/2/2023 14:00,1,0,0,0,34.71325372,54.85645429,61.48091562,3,0.720908233,0.302179071,2.632432104,14,0,1,0,FALSE,4.723752849,FALSE,FALSE,TRUE
1/2/2023 15:00,1,0,0,0,7.515342745,83.12659007,15.21454365,2,0.162968992,0.546877943,2.889063597,15,0,1,0,FALSE,3.937035504,FALSE,FALSE,TRUE
1/2/2023 16:00,1,0,0,0,17.92108762,63.8753505,11.376974,3,0.349017535,0.552763699,1.69834862,16,0,1,0,FALSE,3.046878871,FALSE,FALSE,TRUE
1/2/2023 17:00,1,0,0,0,16.37170136,69.69279305,78.8221543,1,0.593650046,0.312684036,1.716247141,17,0,1,0,FALSE,2.595796828,FALSE,FALSE,TRUE
1/2/2023 18:00,1,0,0,0,16.95363955,88.56750997,71.2764408,3,0.408146435,0.058739585,1.017969046,18,0,1,0,FALSE,1.70188704,FALSE,FALSE,TRUE
1/2/2023 19:00,1,0,0,0,33.41967264,81.26943751,87.32974308,2,0.770127203,0.280276473,2.834401846,19,0,1,0,FALSE,4.420633406,FALSE,FALSE,TRUE
1/2/2023 20:00,1,0,0,0,13.45590048,96.76080515,56.56293084,1,0.460383347,0.33292139,1.611181542,20,0,1,0,FALSE,2.563333892,FALSE,FALSE,TRUE
1/2/2023 21:00,1,0,0,0,34.58171498,89.79073501,25.72878781,3,0.972081274,0.116006277,2.60877466,21,0,1,0,FALSE,4.0967298,FALSE,FALSE,TRUE
1/2/2023 22:00,1,0,0,0,38.52748705,55.89858968,73.64418567,1,0.515129327,0.368400517,2.61112593,22,0,1,0,FALSE,3.959773287,FALSE,FALSE,TRUE
1/2/2023 23:00,1,0,0,0,36.35327901,73.19551765,47.52755576,2,0.644366338,0.229193808,3.48931643,23,0,1,0,FALSE,5.511729072,FALSE,FALSE,TRUE
1/3/2023 0:00,1,0,0,0,38.71847119,55.87703475,47.8065102,1,0.672628358,0.458106028,1.81630529,0,1,1,0,FALSE,3.156223759,FALSE,FALSE,TRUE
1/3/2023 1:00,1,0,0,0,2.427556436,58.77943361,19.28636405,2,0.660751687,0.690815679,3.529346932,1,1,1,0,FALSE,4.954068527,FALSE,FALSE,TRUE
1/3/2023 2:00,1,0,0,0,31.17640755,84.69544716,75.20635601,3,0.786236526,0.117323489,1.935116198,2,1,1,0,FALSE,3.493332438,FALSE,FALSE,TRUE
1/3/2023 3:00,1,0,0,0,14.78879883,63.09768812,86.53317467,1,0.47705627,0.645071324,2.360481791,3,1,1,0,FALSE,3.906620366,FALSE,FALSE,TRUE
1/3/2023 4:00,1,0,0,0,33.08119304,68.7473604,41.66930677,3,0.229393075,0.244039815,1.695841346,4,1,1,0,FALSE,2.633787431,FALSE,FALSE,TRUE
1/3/2023 5:00,1,0,0,0,11.85200282,80.2478592,20.89521836,1,0.373763735,1.07885209,3.861240201,5,1,1,0,FALSE,5.557602538,FALSE,FALSE,TRUE
